alpha,cl
-30.0,-0.9790972906363027
-29.0,-0.952827602062443
-27.0,-0.8976111358140301
-26.0,-0.8683659986838912
-24.0,-0.5815361951227923
-22.0,-0.5441682726967496
-20.0,-1.0662150988729364
-19.0,-1.1303138054898303
-18.0,-1.1628152547452029
-17.0,-1.2018875074365245
-16.0,-1.2064921844173466
-15.0,-1.1889327565235106
-14.0,-1.159844589402066
-13.0,-1.1214332590207148
-12.0,-1.0766650914367217
-11.0,-1.0488630898902482
-10.0,-1.026779507417632
-9.0,-0.9113828279453584
-8.0,-0.7710710762176476
-7.0,-0.6562080353840815
-6.0,-0.5755212609698953
-5.0,-0.4972840533060349
-4.0,-0.4263445943577422
-3.0,-0.3236158101642116
-2.0,-0.21735822198081794
-1.0,-0.10940701831748417
0.0,-5.190639584817802e-14
1.0,0.10940707976553356
2.0,0.21735849789122452
3.0,0.3236165474666245
4.0,0.42634618108453237
5.0,0.4972901946962913
6.0,0.5755378204592687
7.0,0.6562421182632454
8.0,0.7711711857922189
9.0,0.9115753185871375
10.0,1.0269533905893142
11.0,1.049182280730446
12.0,1.0773220788110116
13.0,1.1223981533230876
14.0,1.1611253179707084
15.0,1.190618367423843
16.0,1.208523241652001
17.0,1.20377924013343
18.0,1.1657615113951234
19.0,1.133375775978137
20.0,1.0691418434103288
22.0,0.7596241671516638
23.0,0.7829096645847057
24.0,0.8139763621442901
26.0,0.6169231007470092
27.0,0.6364329219869572
29.0,0.9559309436433158
30.0,0.9823415357337261
