alpha,cl
-30.0,-0.9840716186516031
-27.0,-0.9043150026494342
-23.0,-0.9766024008606147
-22.0,-1.0871642869921736
-21.0,-1.1778483024576112
-20.0,-1.2441188199245923
-19.0,-1.309992449756036
-18.0,-1.3492620767877526
-17.0,-1.3477372780664045
-16.0,-1.3225253220260624
-15.0,-1.2890474522987945
-14.0,-1.2475060746701523
-13.0,-1.1991548943680688
-12.0,-1.1469762512684485
-11.0,-1.1208350182036795
-10.0,-1.0236756753646985
-9.0,-0.8801342111763439
-7.0,-0.6776632769889217
-6.0,-0.5888765310096354
-5.0,-0.4978731674837584
-4.0,-0.4159803472571115
-3.0,-0.32587031387938714
-2.0,-0.21919172410514912
-1.0,-0.10980764533807216
0.0,-5.681826537040635e-14
1.0,0.1098076852307727
2.0,0.21919189686340412
3.0,0.3258707660786632
4.0,0.4159817559363361
5.0,0.4978786320336685
6.0,0.588888653841409
7.0,0.6776854339676555
9.0,0.8802640674380605
10.0,1.0239448649970309
11.0,1.1210549738729263
12.0,1.1473846310527438
13.0,1.1999379571457434
14.0,1.2486183477290833
15.0,1.2905158547372506
16.0,1.3244436012466345
17.0,1.3500548923790288
18.0,1.3516436683987438
19.0,1.31176501633979
20.0,1.2481590058546719
21.0,1.182054830050815
22.0,1.090411285924744
23.0,0.9787961256380919
26.0,0.877517324060484
27.0,0.9070028151506928
29.0,0.6737756009344764
