alpha,cl
-29.0,-0.959363312589055
-28.0,-0.9320248219283045
-25.0,-0.85448435993882
-23.0,-1.0753477640768694
-22.0,-1.1857942912216097
-21.0,-1.282706851141753
-20.0,-1.3358707118672497
-19.0,-1.3578115864062246
-18.0,-1.3568857697965682
-17.0,-1.3641295503242543
-16.0,-1.356494132009584
-15.0,-1.319408995964206
-14.0,-1.2736893843929775
-13.0,-1.2232274696243173
-12.0,-1.1700232633733463
-11.0,-1.1311736029928863
-9.0,-0.853960400022532
-8.0,-0.7664664961113584
-7.0,-0.6830053141116947
-6.0,-0.5921435015490824
-5.0,-0.4985120733690017
-4.0,-0.41231935491811944
-3.0,-0.32629280556562623
-2.0,-0.21915697508966875
-1.0,-0.11050605464604582
0.0,-3.9799110188032394e-14
1.0,0.11050608620353275
2.0,0.21915711338799226
3.0,0.32629318323917633
4.0,0.41232089866310356
5.0,0.498517129165506
6.0,0.592153897274344
7.0,0.6830254599457497
8.0,0.7665033509714821
9.0,0.8540792608745851
11.0,1.1315780987185797
12.0,1.170448896000446
13.0,1.223932507060804
14.0,1.2747120641102707
15.0,1.3208125080694837
16.0,1.3582588615646287
17.0,1.3657955194811333
18.0,1.3598561000617335
19.0,1.3612514823671609
20.0,1.339656531465568
21.0,1.2870022308481115
22.0,1.1900298794003923
23.0,1.0781533103213767
25.0,0.8569044340453108
26.0,0.8795920119821792
29.0,0.6764896120752518
30.0,0.6891316330374114
