alpha,cl
-26.0,-1.0184193267433796
-25.0,-1.0655490748736747
-24.0,-1.1919479592073938
-23.0,-1.368254271901506
-22.0,-1.458158183944733
-21.0,-1.5266049008271505
-20.0,-1.5492884493204642
-19.0,-1.5433571047323447
-18.0,-1.519442355437338
-17.0,-1.4863928004368396
-16.0,-1.4435424160318182
-15.0,-1.3920836816182247
-14.0,-1.3353997846085035
-13.0,-1.2771167064771924
-12.0,-1.234286065304662
-11.0,-1.1304481983905608
-10.0,-0.9435532609575085
-9.0,-0.875464147984728
-8.0,-0.7903998089151013
-7.0,-0.6990712780892765
-6.0,-0.6026366459903446
-5.0,-0.504152826896648
-4.0,-0.4072879160947327
-3.0,-0.31820017772495934
-2.0,-0.2197980073740047
-1.0,-0.11052281715232654
0.0,-4.200459424730241e-14
1.0,0.11052282543621413
2.0,0.21979804877494288
3.0,0.3182004382555001
4.0,0.4072892519134633
5.0,0.5041561722749045
6.0,0.6026431899520414
7.0,0.6990833819261955
8.0,0.7904223889600779
9.0,0.8755080572204768
10.0,0.9436930767889375
11.0,1.1307543124574178
12.0,1.2347467795343405
13.0,1.2776621772717185
14.0,1.3362599798198553
15.0,1.3932913076630125
16.0,1.4450685402006864
17.0,1.488373872473377
18.0,1.5219075877390056
19.0,1.546165212562998
20.0,1.5524239710007552
21.0,1.5296677412319297
22.0,1.4605786566498584
23.0,1.373523272676412
24.0,1.193081429366654
25.0,1.0680438137197206
26.0,1.0206836799549028
27.0,0.9220480214918654
29.0,0.9695685047605048
30.0,0.9923674799803173
