alpha,cl
-26.0,-1.0104967697205103
-25.0,-1.0544580794062788
-24.0,-1.206776879123629
-23.0,-1.3571574046294348
-22.0,-1.4645421011162407
-21.0,-1.5238849182712644
-20.0,-1.5422783734754868
-19.0,-1.5345734000539835
-18.0,-1.5112890890756647
-17.0,-1.4790197003485839
-16.0,-1.4373388115341064
-15.0,-1.3859850475452726
-14.0,-1.329655231496238
-13.0,-1.272664922161088
-12.0,-1.2345919288127456
-11.0,-1.131252276735705
-10.0,-0.9531689515168492
-9.0,-0.8736668335367951
-8.0,-0.7892925388609437
-7.0,-0.6981183174310739
-6.0,-0.6019846893803951
-5.0,-0.5035546844330494
-4.0,-0.4071620449311451
-3.0,-0.3191384476891014
-2.0,-0.219659169056227
-1.0,-0.11044094877804712
0.0,-4.2238781916559276e-14
1.0,0.11044095763859939
2.0,0.21965921790559587
3.0,0.3191387045019669
4.0,0.40716342341287914
5.0,0.5035580851718751
6.0,0.6019915451450655
7.0,0.6981309746107514
8.0,0.7893160058635272
9.0,0.873712585956863
10.0,0.9533080311157425
11.0,1.1315811406703307
12.0,1.234851938612542
13.0,1.2731791105428194
14.0,1.3305474818247467
15.0,1.3871973120864423
16.0,1.4389151543973746
17.0,1.4810447795398527
18.0,1.513701824975889
19.0,1.5375513014624316
20.0,1.5454520178503155
21.0,1.5271819954653392
22.0,1.4675176358632012
23.0,1.359395562816425
24.0,1.208576897419325
25.0,1.0568724525337465
26.0,1.0126733837579232
27.0,0.9211463506370753
