alpha,cl
-30.0,-0.6885880400931069
-29.0,-0.6730400006230755
-27.0,-0.6412612777303328
-22.0,-1.0870407882987188
-21.0,-1.180427877205128
-20.0,-1.2560713592400583
-19.0,-1.2988738392677253
-18.0,-1.3133935244060413
-17.0,-1.3080064351129976
-16.0,-1.2873868392286667
-15.0,-1.2590910611224209
-14.0,-1.219858192755921
-13.0,-1.175458272228432
-12.0,-1.1432519346238612
-11.0,-1.102441026573168
-10.0,-1.0222614392034992
-9.0,-0.897205085187282
-8.0,-0.7507443844166803
-7.0,-0.6731989688484404
-6.0,-0.5858827269357261
-5.0,-0.49723113641447975
-4.0,-0.4202844564169141
-3.0,-0.32549550463781923
-2.0,-0.21849718312770547
-1.0,-0.11017124362701491
0.0,-3.8062218307710616e-14
1.0,0.11017128882247956
2.0,0.21849737905410196
3.0,0.3254960159216775
4.0,0.42028584645466194
5.0,0.4972370429918984
6.0,0.5858954960644557
7.0,0.6732235371216462
8.0,0.7507944942566146
9.0,0.8973564352494569
10.0,1.0225692427394322
11.0,1.102683224653863
12.0,1.1437283342769298
13.0,1.1761098865625577
14.0,1.2210422829200986
15.0,1.2606630756049098
16.0,1.2894104149430645
17.0,1.3104361700721645
18.0,1.3161777326270385
19.0,1.3020615853763695
20.0,1.2592264334453975
21.0,1.1833079176663186
22.0,1.0893754265681654
26.0,0.6210602129579699
27.0,0.6401279373599599
29.0,0.9597399884779326
30.0,0.9863306581306017
