alpha,cl
-29.0,-0.9643258771956541
-28.0,-0.9380015781552804
-27.0,-0.9166306573831474
-25.0,-1.0587214760909167
-24.0,-1.2061027146523722
-23.0,-1.3651402179769698
-22.0,-1.460205793812534
-21.0,-1.5073933574569607
-20.0,-1.521348867951192
-19.0,-1.5130991594585013
-18.0,-1.4925193182022445
-17.0,-1.462943209911066
-16.0,-1.4227184412755587
-15.0,-1.3718314601910477
-14.0,-1.3166542217097577
-13.0,-1.2701869910706896
-12.0,-1.2265699826925927
-11.0,-1.1304659479743622
-10.0,-0.9740345785956838
-9.0,-0.8687724975442549
-8.0,-0.7864183624601654
-7.0,-0.6957992843128163
-6.0,-0.6001714162342424
-5.0,-0.5028794345589549
-4.0,-0.4077404334657982
-3.0,-0.32111907509092696
-2.0,-0.22003968875155044
-1.0,-0.11044982633414796
0.0,-5.334491529063179e-14
1.0,0.1104498380075431
2.0,0.220039750697265
3.0,0.3211193371773157
4.0,0.4077419379231088
5.0,0.5028830740654431
6.0,0.6001786187323519
7.0,0.6958130453432495
8.0,0.7864435157860968
9.0,0.868822327205247
10.0,0.9741909364086482
11.0,1.1308320571643813
12.0,1.2268476580102436
13.0,1.2707346288706902
14.0,1.3175800256821308
15.0,1.3731272149796168
16.0,1.4243313219924225
17.0,1.4650196884461675
18.0,1.495006760807946
19.0,1.5160863501844608
20.0,1.524764501416972
21.0,1.5110892070473771
22.0,1.463918499591702
23.0,1.368579152415672
24.0,1.2087522726071667
25.0,1.06043692597434
27.0,0.9192211920052349
29.0,0.9672172136801921
