alpha,cl
-27.0,-0.9148871749044263
-25.0,-1.0426062622843852
-24.0,-1.1763202755751394
-23.0,-1.346071495915064
-22.0,-1.4407280672363372
-21.0,-1.4858397517044462
-20.0,-1.4997210425573904
-19.0,-1.4935116258376175
-18.0,-1.476390101867425
-17.0,-1.4485766546431869
-16.0,-1.4096441631781294
-15.0,-1.35914200793342
-14.0,-1.3127482573323837
-13.0,-1.2661004113603562
-12.0,-1.2189071308557617
-11.0,-1.1280822457895812
-10.0,-0.9886311873905822
-9.0,-0.8641430085491719
-8.0,-0.7840801937886375
-7.0,-0.6938271246605867
-6.0,-0.5991412290590266
-5.0,-0.5022925696050665
-4.0,-0.40799968736715175
-3.0,-0.32310837488256505
-2.0,-0.21993476367956719
-1.0,-0.11036740776183736
0.0,-5.820907991727076e-14
1.0,0.11036742236119491
2.0,0.21993483375266273
3.0,0.32310864201726514
4.0,0.4080012042241029
5.0,0.50229653136391
6.0,0.599148861715719
7.0,0.6938415217017058
8.0,0.7841071673992109
9.0,0.8641965186837595
10.0,0.9888011189931408
11.0,1.1284762017337377
12.0,1.219186124387401
13.0,1.2666736714010842
14.0,1.313597952785997
15.0,1.3604830831951655
16.0,1.4113347211028595
17.0,1.4506400125479595
18.0,1.4789699052733556
19.0,1.4964803767308337
20.0,1.5033636150326621
21.0,1.4898893029468216
22.0,1.4450428591253452
23.0,1.3501798116250232
24.0,1.1793385797944955
25.0,1.044594410191076
26.0,0.8891705169856483
27.0,0.9174844856501545
28.0,0.9382999590046208
29.0,0.677966712359984
30.0,0.6934013637022962
