alpha,cl
-30.0,-0.9876843697396305
-27.0,-0.9134496694959089
-25.0,-1.034572493135189
-24.0,-1.1451195087363772
-23.0,-1.3188037497920129
-22.0,-1.4190579219475306
-21.0,-1.4674031018921492
-20.0,-1.4828536549208062
-19.0,-1.478794254096941
-18.0,-1.4641640789616601
-17.0,-1.4376078626641091
-16.0,-1.3997159702955153
-15.0,-1.349288809685407
-14.0,-1.3115086508891958
-13.0,-1.2622484215161296
-12.0,-1.2129876302288605
-11.0,-1.125580379127214
-10.0,-0.9971018971796286
-9.0,-0.860739142190488
-8.0,-0.7823394360331986
-7.0,-0.6926851846585569
-6.0,-0.5984785974757092
-5.0,-0.501634148056567
-4.0,-0.4079024928070498
-3.0,-0.3243125375852245
-2.0,-0.21963497767174958
-1.0,-0.11025843508501153
0.0,-9.27838535169645e-14
1.0,0.11025845210101773
2.0,0.21963505709749515
3.0,0.32431281044999055
4.0,0.407904028462698
5.0,0.5016382922240243
6.0,0.5984866301555457
7.0,0.6927001893589532
8.0,0.7823675292324896
9.0,0.8607953528343814
10.0,0.9972838397306348
11.0,1.1259285298928805
12.0,1.213282938421117
13.0,1.2628366795827215
14.0,1.312384366503763
15.0,1.3506396998345065
16.0,1.4014204976345208
17.0,1.4397742636452933
18.0,1.4666854205864568
19.0,1.4818897331416323
20.0,1.4864769786017649
21.0,1.4715351962711423
22.0,1.423792809837736
23.0,1.323346366174086
24.0,1.1480761770991825
25.0,1.0367244600208267
26.0,0.887911143628432
27.0,0.9160547192645949
28.0,0.9377785518141356
29.0,0.9644295537739511
30.0,0.9907950057333516
