alpha,cd
-30.0,0.3371963089600447
-28.0,0.29684405106709044
-27.0,0.2836960038147337
-26.0,0.2697420650100887
-25.0,0.25741217184104354
-24.0,0.2440579998971885
-23.0,0.23215158403536293
-22.0,0.21923347248604705
-21.0,0.23638095062421122
-20.0,0.19560642026995687
-19.0,0.2105159521312205
-18.0,0.19498373878844902
-17.0,0.1830674833758224
-16.0,0.16692083272830804
-15.0,0.13923573870194839
-14.0,0.10902992961065247
-13.0,0.062280345079549645
-12.0,0.04830443973779103
-11.0,0.03985479689198357
-10.0,0.03128567349168426
-9.0,0.026445704058663835
-8.0,0.022887096343600127
-7.0,0.020611548327095525
-6.0,0.014857072753879121
-5.0,0.012831206015333352
-4.0,0.012905993482309084
-3.0,0.013269675238675024
-2.0,0.01308977023292434
-1.0,0.012905185097608402
0.0,0.012837850585235991
1.0,0.012905145797957762
2.0,0.013089676909709882
3.0,0.01326950307794453
4.0,0.01290566884049037
5.0,0.012830501373369664
6.0,0.014857774834115028
7.0,0.020608215228275984
8.0,0.022883317409798595
9.0,0.026444668143732628
10.0,0.031287568356489166
11.0,0.039857287548072225
12.0,0.04832537378945189
13.0,0.11148994450442853
14.0,0.1211063756387092
15.0,0.13892319172256443
16.0,0.15132366655607796
17.0,0.16144552557366357
18.0,0.19529191552800182
19.0,0.2109778897631393
20.0,0.1951860225288369
21.0,0.2371676415054591
22.0,0.21874692721480457
23.0,0.23163268272709706
24.0,0.2434929308208613
25.0,0.2568113070195669
26.0,0.26909923055322055
27.0,0.2829920382192833
28.0,0.2960881565023423
30.0,0.3238896818909231
