alpha,cd
-30.0,0.3290925598215212
-29.0,0.3136217067990917
-28.0,0.297667097286961
-27.0,0.285590984732427
-25.0,0.28383220175708834
-24.0,0.2736244726499264
-22.0,0.15549644938774285
-21.0,0.12098095631081202
-20.0,0.09348279993133407
-19.0,0.07306759224676394
-18.0,0.058052917283003984
-17.0,0.04678888183518928
-16.0,0.03833391264350629
-15.0,0.03163981740741292
-14.0,0.026304119374075553
-13.0,0.020725539971918384
-12.0,0.017729472407645594
-11.0,0.015641872127302135
-10.0,0.014094334730389157
-9.0,0.012121551362635822
-8.0,0.01059201404146911
-7.0,0.009869584110772631
-6.0,0.009096297836206463
-5.0,0.008063912080530856
-4.0,0.006137616706022856
-3.0,0.005502960162345213
-2.0,0.0053257189902467675
-1.0,0.0052346498800015925
0.0,0.005204117107473384
1.0,0.005234642332110127
2.0,0.0053257036858367045
3.0,0.00550293508864981
4.0,0.006137589659887502
5.0,0.008063845192127262
6.0,0.009096170356094441
7.0,0.009869385856916055
8.0,0.010591645787636217
9.0,0.012121087370387243
10.0,0.014093769986242826
11.0,0.015638986230510365
12.0,0.017723489399097004
13.0,0.02071541551298042
14.0,0.026305873546128324
15.0,0.03159788500275971
16.0,0.038272705105219185
17.0,0.046696428727843506
18.0,0.0579367325091282
19.0,0.07293221849307295
20.0,0.0933272155510225
21.0,0.12088975965856195
22.0,0.15560486438365392
27.0,0.2848963495878888
28.0,0.29690838665851405
29.0,0.3127474360317548
30.0,0.328147710478764
