alpha,cd
-23.0,0.18131435402627966
-22.0,0.1428915285144122
-21.0,0.11033724399088057
-20.0,0.0854176826181044
-19.0,0.06772460562679258
-18.0,0.049790815050772305
-17.0,0.03876084670185499
-16.0,0.031862456809452294
-15.0,0.026465555063725867
-14.0,0.022157019784021226
-13.0,0.018870722989159556
-12.0,0.01659616299279597
-11.0,0.01445867532691238
-10.0,0.012714743708130295
-9.0,0.011064938296080379
-8.0,0.010104986726383517
-7.0,0.009440193428253718
-6.0,0.008703166538709126
-5.0,0.007884403000459745
-4.0,0.006437243661745449
-3.0,0.005249371992241186
-2.0,0.005036464788467808
-1.0,0.0049118244281423345
0.0,0.004870427985613545
1.0,0.004911817517743173
2.0,0.0050364504433514385
3.0,0.005249348232989765
4.0,0.006437216493302714
5.0,0.007884349899825765
6.0,0.008703045702750302
7.0,0.009440023593194303
8.0,0.010104727355069568
9.0,0.011064769635869878
10.0,0.012714175668769919
11.0,0.01445721275520818
12.0,0.016590778851959236
13.0,0.018860576896948908
14.0,0.02213867473396694
15.0,0.02643350564622881
16.0,0.03180815625224714
17.0,0.03870074913083709
18.0,0.049761119440772786
19.0,0.0675290815108231
20.0,0.08517719352413235
21.0,0.11008872936101312
22.0,0.1428555203864705
23.0,0.18165585627412392
25.0,0.25438886782953646
26.0,0.2984952631867709
28.0,0.29963209843651234
29.0,0.31206119620692513
