alpha,cd
-30.0,0.3416841538029643
-27.0,0.30107376497855104
-25.0,0.21246366839243444
-24.0,0.1734312038112744
-23.0,0.12452191781206502
-22.0,0.09291547672996912
-21.0,0.07280899893475003
-20.0,0.058564217114244435
-19.0,0.04763534010447594
-18.0,0.03887277257127749
-17.0,0.032132775029332455
-16.0,0.026897897387480083
-15.0,0.02303511408728648
-14.0,0.018607357998376376
-13.0,0.015943282231398917
-12.0,0.014198263839632996
-11.0,0.012744280342275033
-10.0,0.011322322664490013
-9.0,0.010081837406138156
-8.0,0.009448709507355353
-7.0,0.008794544554342547
-5.0,0.0075066000658233776
-4.0,0.006552519955446665
-3.0,0.005067849776420135
-2.0,0.004678660673071809
-1.0,0.0045434334922061954
0.0,0.004469857787247838
1.0,0.004543427403932998
2.0,0.0046786477089382885
3.0,0.005067828378500426
4.0,0.006552484773647532
5.0,0.007506528682356756
7.0,0.008794390202740286
8.0,0.009448458972363592
9.0,0.010081505126630736
10.0,0.01132181721531005
11.0,0.012744039431373476
12.0,0.014195481316842742
13.0,0.015937880887993368
14.0,0.018596726581626723
15.0,0.023005223010982928
16.0,0.026850900316747205
17.0,0.0320686578660213
18.0,0.03877952937265364
19.0,0.047511758224819914
20.0,0.058373429833509016
21.0,0.07257964870380768
22.0,0.09266866538864824
23.0,0.12429796906684626
24.0,0.17365325836782847
25.0,0.2131544089852447
26.0,0.29230417554090465
27.0,0.3032689956798657
28.0,0.32230174447151333
29.0,0.3356311966550513
30.0,0.34542719858960946
