alpha,cd
-30.0,0.32736078271668706
-25.0,0.2027315415991458
-24.0,0.15689614568936658
-23.0,0.11027587407732038
-22.0,0.08473550606765301
-21.0,0.06379930401979714
-20.0,0.04961310716332105
-19.0,0.03996718565206689
-18.0,0.03295569983915711
-17.0,0.027408123726903145
-16.0,0.02301955180925366
-15.0,0.019624912633663043
-14.0,0.017027440389181404
-13.0,0.015034432880000372
-12.0,0.01335014275782287
-10.0,0.010152315825065284
-9.0,0.009686153534212491
-8.0,0.009045980827784338
-7.0,0.008372784576354538
-6.0,0.0077979864977555215
-5.0,0.0072211012764482885
-4.0,0.00646785624241562
-3.0,0.005275657889124949
-2.0,0.004490292201150297
-1.0,0.004330428751054943
0.0,0.0043102863982805
1.0,0.004330423251441403
2.0,0.00449028036130319
3.0,0.005275636907964343
4.0,0.006467819148600356
5.0,0.007221032314704348
6.0,0.007797882687213694
7.0,0.008372628001673932
8.0,0.009045734919883766
9.0,0.009685823088057622
10.0,0.010151717602721998
12.0,0.013350371161175257
13.0,0.015029501182934567
14.0,0.01701731491041087
15.0,0.019603566357556303
16.0,0.022986217125231644
17.0,0.027360320935849933
18.0,0.03287562430256597
19.0,0.039868191824124384
20.0,0.04949462473583321
21.0,0.06372737801678303
22.0,0.0844108434677128
23.0,0.10968425453089585
24.0,0.15678643320178595
25.0,0.20323280037152724
26.0,0.23409450187152198
27.0,0.2986999298547242
29.0,0.32640504618106697
30.0,0.34345839045328935
