alpha,cd
-30.0,0.32853420189720295
-29.0,0.31359758778975866
-28.0,0.2975989759743427
-27.0,0.285426678248748
-25.0,0.2563141586892037
-24.0,0.24406696269627137
-23.0,0.2570093151907066
-22.0,0.24731435296774393
-20.0,0.12027442292099101
-19.0,0.09246394961010238
-18.0,0.07279060769436316
-17.0,0.05850881083549146
-16.0,0.047290732559686355
-15.0,0.03869275880484388
-14.0,0.032078477517797334
-13.0,0.02683680648830968
-12.0,0.021516618726684072
-11.0,0.01844519518961847
-10.0,0.01638313347425944
-9.0,0.014252230587694748
-8.0,0.012251197356304758
-7.0,0.010740374463368967
-6.0,0.00978176633052776
-5.0,0.008210650525654813
-4.0,0.0064220976610922355
-3.0,0.006160423136250226
-2.0,0.006043907483063023
0.0,0.0059375216092687
2.0,0.00604389103629633
3.0,0.006160395545324034
4.0,0.006422055608798187
5.0,0.008210632976600662
6.0,0.009781639181999095
7.0,0.010740091689627654
8.0,0.012250895635228175
9.0,0.014251426757375573
10.0,0.01638063846985381
11.0,0.018440238717083227
12.0,0.021507630969156918
13.0,0.026841399059846782
14.0,0.03205011424231135
15.0,0.03865261610958831
16.0,0.047234888515463036
17.0,0.0584272611405084
18.0,0.07268771410933332
19.0,0.09239455931647425
20.0,0.12031582436751982
22.0,0.2482612723135607
23.0,0.2581186022358697
24.0,0.2435365190681849
25.0,0.25574512321167714
27.0,0.312185067475715
28.0,0.32189314594780993
29.0,0.3127300911251938
30.0,0.3276110609460904
