alpha,cd
-29.0,0.3301676388884279
-28.0,0.32120653421970163
-25.0,0.2780754263944449
-23.0,0.16708192422557733
-22.0,0.12945819961940225
-21.0,0.0979560377083633
-20.0,0.07609341741788672
-19.0,0.06053689954556351
-18.0,0.049113794151720014
-17.0,0.03812474912938548
-16.0,0.029882047910993262
-15.0,0.024810913899656478
-14.0,0.020893133553849117
-13.0,0.01788686635093816
-12.0,0.01575289042743684
-11.0,0.014288631396699088
-9.0,0.010682723408026798
-8.0,0.00995342955012491
-7.0,0.00924446671988307
-6.0,0.008536164145315776
-5.0,0.007779477132193834
-4.0,0.006509823051882578
-3.0,0.005178409191893283
-2.0,0.004921996943535538
-1.0,0.004793755381422265
0.0,0.004731277746014161
1.0,0.004793748744456669
2.0,0.004921982872858168
3.0,0.00517838602792829
4.0,0.006509793257208125
5.0,0.007779412009293236
6.0,0.008536052811875652
7.0,0.00924427705556005
8.0,0.00995321151823845
9.0,0.010682783773258262
11.0,0.01428800927399721
12.0,0.015748595365055455
13.0,0.01787855397925734
14.0,0.02087626283996885
15.0,0.024781357583915264
16.0,0.02983997707514099
17.0,0.03811031113105148
18.0,0.048981823493811964
19.0,0.060363318054804965
20.0,0.07589655371258136
21.0,0.09771780002588766
22.0,0.1292614624586743
23.0,0.16726768356492652
25.0,0.2796273720414049
26.0,0.2978119346498722
29.0,0.31025953165674885
30.0,0.32718438749062145
