alpha,xsep
-30.0,1.0
-28.0,1.0
-27.0,1.0
-25.0,1.0
-24.0,1.0
-23.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9940340577601507
-8.0,0.9940340577601507
-7.0,0.9136297808963585
-6.0,0.9298907618967442
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,0.9729070630031422
13.0,0.8973373310340239
14.0,0.8317949492481688
15.0,0.7987526573775754
16.0,0.732819444726653
17.0,0.6678422181010019
18.0,0.5875894336694917
19.0,0.49229933922006747
20.0,0.36847980441894684
21.0,0.0013895315362872861
22.0,0.0013895315362872861
23.0,0.000705969547724709
24.0,0.000705969547724709
25.0,0.0002555230974193557
27.0,0.0002555230974193557
28.0,0.0002555230974193557
30.0,2.8847427116899713e-5
