alpha,xsep
-30.0,0.9940340577601507
-27.0,1.0
-25.0,1.0
-24.0,0.9940340577601507
-23.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9841477056361863
-8.0,0.9841477056361863
-7.0,0.9940340577601507
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,0.9600770588612567
17.0,0.8973373310340239
18.0,0.8152674707140016
19.0,0.7657425488505543
20.0,0.7001945835196449
21.0,0.6356423252188991
22.0,0.5875894336694917
23.0,0.5238822635876061
24.0,0.460907100497526
25.0,0.36847980441894684
26.0,0.2593732974754252
27.0,0.10853325300865592
28.0,0.049081566299643505
29.0,0.0002555230974193557
30.0,0.0002555230974193557
