alpha,xsep
-29.0,0.9940340577601507
-28.0,0.9940340577601507
-27.0,0.9940340577601507
-25.0,0.9940340577601507
-24.0,0.9940340577601507
-23.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9841477056361863
-9.0,0.9841477056361863
-8.0,1.0
-7.0,1.0
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,0.9600770588612567
16.0,0.8973373310340239
17.0,0.8317949492481688
18.0,0.7657425488505543
19.0,0.7164640349295976
20.0,0.6517255189393961
21.0,0.6035790172840872
22.0,0.5397527237307274
23.0,0.4765777054399686
24.0,0.39915078885193256
25.0,0.27496644143356735
29.0,0.13733807803529968
30.0,0.05866556812162727
