alpha,xsep
-28.0,0.9940340577601507
-27.0,0.9940340577601507
-26.0,0.9940340577601507
-25.0,0.9940340577601507
-24.0,0.9940340577601507
-23.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9841477056361863
-8.0,0.9940340577601507
-7.0,1.0
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,0.9940340577601507
15.0,0.9456071479871537
16.0,0.8810767866131952
17.0,0.8152674707140016
18.0,0.732819444726653
19.0,0.6839945293903026
20.0,0.6195942885526781
21.0,0.5556698504651156
22.0,0.49229933922006747
23.0,0.42982435565317584
24.0,0.3374453249874716
25.0,0.19757750822655573
27.0,0.08169966338388485
28.0,0.040740654856375985
29.0,0.040740654856375985
30.0,0.0002555230974193557
