alpha,xsep
-30.0,0.9940340577601507
-29.0,0.9940340577601507
-28.0,1.0
-27.0,1.0
-26.0,1.0
-25.0,1.0
-23.0,1.0
-19.0,1.0
-18.0,1.0
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9940340577601507
-8.0,0.9940340577601507
-7.0,0.9940340577601507
-6.0,0.9841477056361863
-5.0,0.9456071479871537
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,0.9940340577601507
15.0,0.9456071479871537
16.0,0.8647460789570158
17.0,0.7987526573775754
18.0,0.732819444726653
19.0,0.6678422181010019
23.0,0.6035790172840872
25.0,0.5238822635876061
26.0,0.4453117161187961
27.0,0.3374453249874716
28.0,0.22832629871747778
30.0,0.18233339051208722
