alpha,xsep
-30.0,1.0
-29.0,1.0
-28.0,1.0
-27.0,1.0
-25.0,1.0
-24.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9841477056361863
-8.0,0.9729070630031422
-7.0,0.9940340577601507
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,0.9940340577601507
14.0,0.9456071479871537
15.0,0.8810767866131952
16.0,0.7822465579689318
17.0,0.7164640349295976
18.0,0.6517255189393961
19.0,0.5875894336694917
20.0,0.5238822635876061
21.0,0.4453117161187961
22.0,0.35300661848121273
27.0,0.24381969714401203
28.0,0.13733807803529968
29.0,0.08169966338388485
30.0,0.12275524879909523
