alpha,xsep
-29.0,0.9940340577601507
-28.0,1.0
-26.0,1.0
-25.0,1.0
-24.0,1.0
-23.0,1.0
-21.0,1.0
-20.0,1.0
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9940340577601507
-8.0,0.9940340577601507
-7.0,0.9600770588612567
-5.0,0.9940340577601507
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,0.9841477056361863
17.0,0.9136297808963585
18.0,0.8483068107560272
19.0,0.7822465579689318
20.0,0.7001945835196449
21.0,0.6195942885526781
25.0,0.5556698504651156
26.0,0.49229933922006747
28.0,0.4144502150445048
29.0,0.30620797335443584
