alpha,xsep
-28.0,1.0
-27.0,1.0
-26.0,0.9940340577601507
-24.0,0.9940340577601507
-23.0,0.9940340577601507
-22.0,0.9940340577601507
-21.0,0.9940340577601507
-20.0,0.9940340577601507
-19.0,0.9940340577601507
-18.0,0.9940340577601507
-17.0,0.9940340577601507
-16.0,0.9940340577601507
-15.0,0.9940340577601507
-14.0,0.9940340577601507
-13.0,0.9940340577601507
-12.0,0.9940340577601507
-11.0,0.9940340577601507
-10.0,0.9940340577601507
-9.0,0.9940340577601507
-8.0,0.9841477056361863
-7.0,0.9940340577601507
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,0.9940340577601507
16.0,0.9456071479871537
17.0,0.8810767866131952
18.0,0.8152674707140016
19.0,0.732819444726653
20.0,0.6678422181010019
21.0,0.6035790172840872
22.0,0.5556698504651156
23.0,0.4765777054399686
24.0,0.4144502150445048
26.0,0.30620797335443584
27.0,0.1671892071732685
30.0,0.06956288761570932
