alpha,xsep
-30.0,2.8847427116901123e-5
-28.0,2.8847427116901123e-5
-27.0,2.8847427116901123e-5
-26.0,2.8847427116901123e-5
-25.0,0.00025552309741935905
-24.0,0.00025552309741935905
-23.0,0.00025552309741935905
-22.0,0.000705969547724714
-21.0,0.000705969547724714
-20.0,0.0013895315362872924
-19.0,0.0013895315362872924
-18.0,0.002327272313780489
-17.0,0.002327272313780489
-16.0,0.002327272313780489
-15.0,0.0035504316377782544
-14.0,0.005093340757353361
-13.0,0.274966441433567
-12.0,0.8810767866131952
-11.0,0.9940340577601507
-10.0,1.0
-9.0,1.0
-8.0,1.0
-7.0,1.0
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,0.7001945835196444
8.0,0.7164640349295974
9.0,0.9136297808963584
10.0,0.9940340577601507
11.0,0.9940340577601507
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,1.0
19.0,1.0
20.0,1.0
21.0,1.0
22.0,1.0
23.0,1.0
24.0,1.0
25.0,1.0
26.0,1.0
27.0,1.0
28.0,1.0
30.0,1.0
