alpha,xsep
-29.0,2.8847427116899713e-5
-28.0,2.8847427116899713e-5
-26.0,2.8847427116899713e-5
-24.0,2.8847427116901123e-5
-23.0,2.8847427116901123e-5
-21.0,0.05866556812162746
-20.0,0.00025552309741935905
-19.0,0.00025552309741935905
-18.0,0.12275524879909515
-17.0,0.1671892071732685
-16.0,0.2905819468041798
-15.0,0.3991507888519323
-14.0,0.47657770543996814
-13.0,0.5556698504651154
-12.0,0.6195942885526776
-11.0,0.7001945835196444
-10.0,0.7657425488505538
-9.0,0.8317949492481685
-8.0,0.8973373310340236
-7.0,0.9729070630031422
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,0.9940340577601507
14.0,0.9600770588612568
15.0,0.9940340577601507
16.0,0.9940340577601507
17.0,0.9940340577601507
18.0,0.9940340577601507
19.0,0.9940340577601507
20.0,0.9940340577601507
21.0,0.9940340577601507
23.0,0.9940340577601507
24.0,0.9940340577601507
26.0,0.9940340577601507
29.0,0.9940340577601507
