alpha,xsep
-29.0,2.8847427116899713e-5
-28.0,2.8847427116899713e-5
-26.0,2.8847427116899713e-5
-25.0,2.8847427116901123e-5
-24.0,2.8847427116901123e-5
-23.0,2.8847427116901123e-5
-21.0,0.00025552309741935905
-20.0,0.00025552309741935905
-19.0,0.10853325300865582
-18.0,0.18233339051208716
-17.0,0.30620797335443567
-16.0,0.4144502150445044
-15.0,0.492299339220067
-14.0,0.5556698504651154
-13.0,0.6195942885526776
-12.0,0.7001945835196444
-11.0,0.7822465579689316
-10.0,0.8483068107560269
-9.0,0.9136297808963584
-8.0,0.9841477056361863
-7.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,0.9940340577601507
15.0,0.9600770588612568
16.0,0.9940340577601507
17.0,0.9940340577601507
18.0,0.9940340577601507
19.0,0.9940340577601507
20.0,0.9940340577601507
21.0,0.9940340577601507
25.0,0.9940340577601507
26.0,0.9940340577601507
28.0,0.9940340577601507
29.0,0.9940340577601507
