alpha,xsep
-30.0,2.8847427116899713e-5
-29.0,2.8847427116899713e-5
-28.0,2.8847427116899713e-5
-27.0,2.8847427116901123e-5
-26.0,2.8847427116901123e-5
-25.0,2.8847427116901123e-5
-23.0,0.00025552309741935905
-19.0,0.00025552309741935905
-18.0,0.000705969547724714
-17.0,0.18233339051208716
-16.0,0.1671892071732685
-15.0,0.3374453249874713
-14.0,0.4453117161187958
-13.0,0.5238822635876058
-12.0,0.6035790172840869
-11.0,0.6678422181010015
-10.0,0.7328194447266526
-9.0,0.7987526573775752
-8.0,0.8647460789570156
-7.0,0.9456071479871535
-6.0,0.9940340577601507
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,0.9456071479871535
14.0,0.9841477056361863
15.0,0.9940340577601507
16.0,0.9940340577601507
17.0,0.9940340577601507
18.0,0.9940340577601507
19.0,0.9940340577601507
23.0,0.9940340577601507
25.0,0.9940340577601507
26.0,0.9940340577601507
27.0,0.9940340577601507
28.0,0.9940340577601507
30.0,0.9940340577601507
