alpha,xsep
-28.0,0.01838221266940234
-27.0,1.0
-26.0,2.8847427116901123e-5
-25.0,0.00025552309741935905
-24.0,0.00025552309741935905
-23.0,0.04074065485637621
-22.0,0.08169966338388479
-21.0,0.19757750822655565
-20.0,0.3374453249874713
-19.0,0.4298243556531754
-18.0,0.492299339220067
-17.0,0.5556698504651154
-16.0,0.6195942885526776
-15.0,0.6839945293903021
-14.0,0.7328194447266526
-13.0,0.8152674707140014
-12.0,0.8810767866131952
-11.0,0.9456071479871535
-10.0,0.9940340577601507
-9.0,1.0
-8.0,1.0
-7.0,1.0
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,0.9940340577601507
13.0,0.9841477056361863
14.0,0.9940340577601507
15.0,0.9940340577601507
16.0,0.9940340577601507
17.0,0.9940340577601507
18.0,0.9940340577601507
19.0,0.9940340577601507
20.0,0.9940340577601507
21.0,0.9940340577601507
22.0,0.9940340577601507
23.0,0.9940340577601507
24.0,0.9940340577601507
25.0,0.9940340577601507
27.0,0.9940340577601507
28.0,0.9940340577601507
29.0,0.9940340577601507
30.0,0.9940340577601507
