alpha,xsep
-29.0,2.8847427116899713e-5
-28.0,2.8847427116899713e-5
-25.0,2.8847427116901123e-5
-23.0,2.8847427116901123e-5
-22.0,0.0013895315362872924
-21.0,0.00025552309741935905
-20.0,0.04908156629964372
-19.0,0.10853325300865582
-18.0,0.21290946137445663
-17.0,0.3374453249874713
-16.0,0.4298243556531754
-15.0,0.5080654115498181
-14.0,0.5716190943361751
-13.0,0.6517255189393956
-12.0,0.7164640349295974
-11.0,0.7822465579689316
-9.0,0.8483068107560269
-8.0,0.9136297808963584
-7.0,0.9729070630031422
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,0.9940340577601507
17.0,0.9729070630031422
18.0,0.9940340577601507
19.0,0.9940340577601507
20.0,0.9940340577601507
21.0,0.9940340577601507
22.0,0.9940340577601507
23.0,0.9940340577601507
25.0,0.9940340577601507
26.0,0.9940340577601507
29.0,0.9940340577601507
30.0,0.9940340577601507
