alpha,xsep
-29.0,2.8847427116899713e-5
-28.0,2.8847427116899713e-5
-26.0,2.8847427116899713e-5
-25.0,2.8847427116901123e-5
-24.0,2.8847427116901123e-5
-23.0,2.8847427116901123e-5
-22.0,0.00025552309741935905
-21.0,0.00025552309741935905
-20.0,0.000705969547724714
-19.0,0.000705969547724714
-18.0,0.0013895315362872924
-17.0,0.2905819468041798
-16.0,0.4298243556531754
-15.0,0.5238822635876058
-14.0,0.6035790172840869
-13.0,0.6678422181010015
-12.0,0.7164640349295974
-11.0,0.7822465579689316
-10.0,0.8483068107560269
-9.0,0.9298907618967441
-8.0,0.9940340577601507
-7.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,0.9940340577601507
13.0,0.9456071479871535
14.0,0.9841477056361863
15.0,0.9940340577601507
16.0,0.9940340577601507
17.0,0.9940340577601507
18.0,0.9940340577601507
19.0,0.9940340577601507
22.0,0.9940340577601507
23.0,0.9940340577601507
24.0,0.9940340577601507
25.0,0.9940340577601507
26.0,1.0
28.0,1.0
29.0,1.0
