alpha,xsep
-30.0,2.8847427116899713e-5
-29.0,2.8847427116899713e-5
-27.0,0.46090710049752553
-22.0,2.8847427116901123e-5
-21.0,0.00025552309741935905
-20.0,0.09479254815606108
-19.0,0.027624377225337914
-18.0,0.06956288761570935
-17.0,0.1671892071732685
-16.0,0.274966441433567
-15.0,0.38385094316029594
-14.0,0.47657770543996814
-13.0,0.5397527237307269
-12.0,0.6035790172840869
-11.0,0.6678422181010015
-10.0,0.7328194447266526
-9.0,0.7987526573775752
-8.0,0.8810767866131952
-7.0,0.9600770588612568
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,0.9729070630031422
16.0,0.9841477056361863
17.0,0.9940340577601507
18.0,0.9940340577601507
19.0,0.9940340577601507
20.0,0.9940340577601507
21.0,0.9940340577601507
22.0,0.9940340577601507
26.0,0.9940340577601507
27.0,0.9940340577601507
29.0,0.9940340577601507
30.0,0.9940340577601507
