alpha,cm
-29.0,0.10922811201189352
-28.0,0.0802738815436463
-27.0,0.07262336301699965
-26.0,0.08065464788587869
-25.0,0.0721019971771015
-21.0,-0.009781326619075227
-20.0,-0.025892566030580887
-19.0,-0.036404771694739255
-18.0,-0.042464890068797424
-17.0,-0.04529193587765347
-16.0,-0.04582933636811943
-15.0,-0.04400665719837535
-14.0,-0.03982707146111657
-13.0,-0.03511411902453395
-12.0,-0.028868945521113926
-11.0,-0.01980206188713659
-10.0,-0.008564024913552029
-9.0,-0.012300602585487253
-8.0,-0.025352986265777953
-7.0,-0.02066042524980208
-6.0,-0.015584277240761793
-5.0,-0.010738607304595318
-4.0,-0.0035652870827030864
-3.0,-0.0016690977157696515
-2.0,-0.0008490912879986824
-1.0,-0.0002753542735169642
0.0,9.550143961422171e-15
1.0,0.0002753438592227688
2.0,0.0008490461066587435
3.0,0.0016689760813369272
4.0,0.003565008342431632
5.0,0.010737405366413273
6.0,0.015581555682386046
7.0,0.020655105900001032
8.0,0.025338912781360776
9.0,0.012264207364341972
10.0,0.008500650027013425
11.0,0.0197495285240542
12.0,0.028776213799908256
13.0,0.034979155046300496
14.0,0.039652196374891945
15.0,0.04380207299909875
16.0,0.04556025641166105
17.0,0.0449904288510182
18.0,0.042127575611248955
19.0,0.03603521778765418
20.0,0.025484796766756874
21.0,0.00932491082194073
25.0,-0.05701694287327162
26.0,-0.06454605623446975
27.0,-0.09098628545648035
28.0,-0.10077104796807836
29.0,-0.11009166264948593
30.0,-0.0950762765405041
