alpha,cm
-30.0,0.12011963271003019
-29.0,0.11057865445017219
-27.0,0.07362730519174474
-26.0,0.06592505645459827
-22.0,0.0032155831396010375
-21.0,-0.015792011135093337
-20.0,-0.031055347520038794
-19.0,-0.04000068557296056
-18.0,-0.04363706202511061
-17.0,-0.04427055849154818
-16.0,-0.04314494513127281
-15.0,-0.040581006226369024
-14.0,-0.036822694882247785
-13.0,-0.0318629795757641
-12.0,-0.02416140017954489
-11.0,-0.011925112542104935
-10.0,-0.010462423750686187
-9.0,-0.01828665687319175
-8.0,-0.024021932732689294
-7.0,-0.01821710821910422
-6.0,-0.014143202339194388
-5.0,-0.010482908460286215
-4.0,-0.0050064113843487305
-3.0,-0.0013745645735967254
-2.0,-0.0006116863733338706
-1.0,-0.00021482238847178166
0.0,2.6610978935212993e-15
1.0,0.00021481477996592344
2.0,0.000611654608581366
3.0,0.0013744774914701144
4.0,0.005006156087692879
5.0,0.01048187784245848
6.0,0.014141002935152696
7.0,0.01821292384083079
8.0,0.024013779812504576
9.0,0.018258532269123422
10.0,0.010404045811949774
11.0,0.011881702916099258
12.0,0.024085129464389902
13.0,0.0317339950575668
14.0,0.03665150668992638
15.0,0.04036685105564027
16.0,0.042886707246964625
17.0,0.04397460447292813
18.0,0.04330375416212016
19.0,0.03961142726376968
20.0,0.030544523850330674
21.0,0.01512255342076922
22.0,-0.0036725063754275847
26.0,-0.0658193116777632
27.0,-0.07348540754496115
29.0,-0.11144209907534093
30.0,-0.12103654180768167
