alpha,cm
-30.0,0.10952266531871689
-28.0,0.07086041311548644
-27.0,0.06378388604870373
-26.0,0.0562352767748958
-25.0,0.04960210969198429
-24.0,0.041251748051419776
-23.0,0.035558142281678154
-22.0,0.02719970037427259
-21.0,0.03111923153662392
-20.0,0.014126283959854567
-19.0,0.01610236998350223
-18.0,0.004771827511206215
-17.0,0.001783375779040188
-16.0,-0.006467946360128249
-15.0,-0.01875023898238449
-14.0,-0.03622038063255146
-13.0,-0.05348817221214365
-12.0,-0.04512469393924562
-11.0,-0.0306021008688813
-10.0,-0.025253614533917623
-9.0,-0.021489427148080904
-8.0,-0.011462767253996092
-7.0,0.0029552475214734922
-6.0,-0.002273945564611268
-5.0,-0.0033343504645653196
-4.0,-0.005048312737564321
-3.0,-0.00388593868214941
-2.0,-0.002565619771987076
-1.0,-0.0012920683701266873
0.0,1.0626311391128258e-14
1.0,0.0012920178976064752
2.0,0.0025656796117994782
3.0,0.0038856553750595043
4.0,0.005047633574891991
5.0,0.003330237048303056
6.0,0.0022596267242392066
7.0,-0.0029988480140879627
8.0,0.011453940781663279
9.0,0.02145436353113793
10.0,0.025213107843282505
11.0,0.030571657235005927
12.0,0.045058498720703305
13.0,0.03136096971855275
14.0,0.032569155871271786
15.0,0.01871101853704553
16.0,0.011191981756473077
17.0,0.009731759541872323
18.0,-0.0049502515842920055
19.0,-0.01641338585849798
20.0,-0.014097365515874684
21.0,-0.03148888346424338
22.0,-0.027147144858829114
23.0,-0.035466830445663323
24.0,-0.041164902173811586
25.0,-0.04947276118013602
26.0,-0.056094191630374844
27.0,-0.06361170061083792
28.0,-0.07066956677843104
30.0,-0.08501104231483608
