alpha,cm
-29.0,0.11167503833929941
-28.0,0.10207371420874932
-27.0,0.09146184475424785
-25.0,0.03906446093725706
-24.0,0.0073420462712601295
-23.0,-0.01766426460653583
-22.0,-0.031400412647514996
-21.0,-0.03842784971570189
-20.0,-0.04168610954011
-19.0,-0.04273807054362974
-18.0,-0.04215435691858051
-17.0,-0.04024096043591516
-16.0,-0.03739223616259232
-15.0,-0.03393017981846283
-14.0,-0.02945083619627276
-13.0,-0.02208960891688598
-12.0,-0.011659277139663204
-11.0,-0.011006640208419223
-10.0,-0.023020233877658246
-9.0,-0.023326116590754765
-8.0,-0.018113952556139172
-7.0,-0.014505763882188308
-6.0,-0.011808275243460196
-5.0,-0.009386387250665665
-4.0,-0.006548862904753883
-3.0,-0.002145580192920907
-2.0,-0.0003260594652415265
-1.0,-8.656799886245174e-5
0.0,1.0116118115417914e-14
1.0,8.656679985677201e-5
2.0,0.00032605194168085374
3.0,0.0021455439062165963
4.0,0.006548614493146545
5.0,0.009385768010665377
6.0,0.011807032140435306
7.0,0.014503354988943807
8.0,0.018109516826033317
9.0,0.023317225322372875
10.0,0.022988966490636666
11.0,0.010930026411224739
12.0,0.01160673829578857
13.0,0.021991875439308924
14.0,0.029298651776314685
15.0,0.03373190539774388
16.0,0.037154958799898115
17.0,0.03996116807638091
18.0,0.04183761397527204
19.0,0.042391462778416746
20.0,0.04131309160645403
21.0,0.03802857717594568
22.0,0.0309618699180901
23.0,0.017174348577556744
24.0,-0.007886456513301193
25.0,-0.0397244472945021
27.0,-0.09217130877251864
29.0,-0.11250029390038338
