alpha,cm
-30.0,0.0957860709365332
-29.0,0.08831480531957847
-28.0,0.08067740621732217
-27.0,0.07303390519345268
-25.0,0.07213381584820089
-24.0,0.06358680213918795
-22.0,0.003934534790037262
-21.0,-0.015503645348045797
-20.0,-0.02939622485385439
-19.0,-0.03821076625702137
-18.0,-0.043038407560610586
-17.0,-0.04503270276994737
-16.0,-0.044878549141940116
-15.0,-0.04304742120583864
-14.0,-0.03989440035492688
-13.0,-0.03344315905951922
-12.0,-0.02665008492417503
-11.0,-0.016881193482913864
-10.0,-0.009863889899007312
-9.0,-0.013843564767353532
-8.0,-0.02609006709228983
-7.0,-0.01960587467411592
-6.0,-0.0149703593376142
-5.0,-0.010574414960971841
-4.0,-0.0039250911938917025
-3.0,-0.0015960630847620116
-2.0,-0.0007405595507440206
-1.0,-0.0002994222559623713
0.0,9.223258885772143e-15
1.0,0.0002994126492106927
2.0,0.0007405176380550592
3.0,0.0015959556754443819
4.0,0.003924849050193825
5.0,0.010573279735208252
6.0,0.014967777622008476
7.0,0.019600871876172182
8.0,0.026078991913312498
9.0,0.013809719215857719
10.0,0.009800118576229712
11.0,0.016834510945266473
12.0,0.02656228237860565
13.0,0.03331581208881052
14.0,0.03973665242148854
15.0,0.042821935323075155
16.0,0.044614718014174305
17.0,0.04473543523439012
18.0,0.04271058041064079
19.0,0.0378475584199432
20.0,0.029010372109968662
21.0,0.015078505785143902
22.0,-0.00440591357068211
27.0,-0.07289154148240902
28.0,-0.08049935463996186
29.0,-0.0880944110339378
30.0,-0.09552536546647356
