alpha,cm
-23.0,0.02062596339230918
-22.0,-0.0024695601431241354
-21.0,-0.020166416577976735
-20.0,-0.03214974454121945
-19.0,-0.039173023318431026
-18.0,-0.043549775863844085
-17.0,-0.04386418050052217
-16.0,-0.042305946553661836
-15.0,-0.03951958778066113
-14.0,-0.035529931049291266
-13.0,-0.03025124049263586
-12.0,-0.023658931689779297
-11.0,-0.010223698293633933
-10.0,-0.010740422276441402
-9.0,-0.021253270304958032
-8.0,-0.02306672078661984
-7.0,-0.017638491427683388
-6.0,-0.01376965852229442
-5.0,-0.01032452618083031
-4.0,-0.005342957464341682
-3.0,-0.0013701850801175867
-2.0,-0.0006016551568301118
-1.0,-0.00020879632228386127
0.0,9.215784587636233e-15
1.0,0.00020879015246863612
2.0,0.0006016254330809182
3.0,0.0013701065303192976
4.0,0.005342694644451502
5.0,0.010323562710772265
6.0,0.013767528174384005
7.0,0.017634582433111293
8.0,0.023059262643813253
9.0,0.021227933602067747
10.0,0.01068638262332877
11.0,0.01018405190036966
12.0,0.023576088040193
13.0,0.03012749391191447
14.0,0.0353627300439925
15.0,0.0393083361002055
16.0,0.042050313774617855
17.0,0.04357246036398669
18.0,0.043216335222927164
19.0,0.038835297251816635
20.0,0.03180352992459001
21.0,0.019814855122981274
22.0,0.002046652026882944
23.0,-0.02114898085019398
25.0,-0.058013055528877505
26.0,-0.08301957092102379
28.0,-0.08148398438195564
29.0,-0.08908332611725807
