alpha,cm
-29.0,0.11110021084613453
-25.0,0.07223783199576227
-24.0,0.0318680088925051
-23.0,0.005225316517760193
-22.0,-0.016900769919724286
-21.0,-0.030580543052496155
-20.0,-0.0380312619736523
-19.0,-0.04200135801398675
-18.0,-0.04354497365607215
-17.0,-0.04329729627213016
-16.0,-0.04078654106685876
-15.0,-0.036865712498162485
-14.0,-0.03235433714845062
-13.0,-0.02658084140269568
-12.0,-0.018868525542296993
-11.0,-0.00987653679953347
-10.0,-0.012085832519817171
-9.0,-0.02889592655292085
-8.0,-0.02090348718677332
-7.0,-0.016226091062771928
-6.0,-0.01294951068307995
-4.0,-0.006080597873058873
-3.0,-0.0012707278664301446
-2.0,-0.0004941393132841361
-1.0,-0.00018043062355165514
0.0,1.1933652773334663e-14
1.0,0.0001804263379528697
3.0,0.0012706707116645513
4.0,0.006080343769749358
5.0,0.010030847397544628
6.0,0.012947774527651416
7.0,0.01622277014267024
8.0,0.020897090825008062
9.0,0.028873064466477118
10.0,0.01204321144790693
11.0,0.009797890396274569
12.0,0.018801360068471606
13.0,0.026467011168725185
14.0,0.032196734926438784
15.0,0.0366666411048571
16.0,0.04055046813799606
17.0,0.043003628452695675
18.0,0.04322132269648247
19.0,0.041654560848311484
20.0,0.03766154949449017
21.0,0.030209688615981202
22.0,0.016608783536656388
23.0,-0.0056528273703931806
24.0,-0.03244467888127894
29.0,-0.1119394919450936
