alpha,cm
-30.0,0.09600505296603465
-29.0,0.08846516105058165
-27.0,0.07321288613313919
-26.0,0.06534161759153587
-25.0,0.0720266672724402
-24.0,0.06362591660722575
-22.0,0.0007095151017633456
-21.0,-0.017541709765412812
-20.0,-0.030831364942095565
-19.0,-0.03899517876280342
-18.0,-0.043263862296282235
-17.0,-0.04487151144191888
-16.0,-0.04444306078181208
-15.0,-0.04236228715328953
-14.0,-0.039170769868829246
-13.0,-0.03317520406336437
-12.0,-0.025670697491386275
-11.0,-0.015544519876224254
-10.0,-0.010247925198394603
-9.0,-0.014677277445122601
-8.0,-0.02565808772045794
-7.0,-0.01922107352486456
-6.0,-0.014709534747067874
-5.0,-0.01052324635938211
-3.0,-0.0015318899878570959
-2.0,-0.0007135625011870907
-1.0,-0.0002305189039923254
0.0,8.114472058448616e-15
1.0,0.000230510783784404
2.0,0.0007135237692368891
3.0,0.0015317902902225197
5.0,0.01052218501214653
6.0,0.014707051932793464
7.0,0.01921633445244417
8.0,0.025648135186843217
9.0,0.014644016194463823
10.0,0.010185664401503472
11.0,0.015498863166358502
12.0,0.025584959495539825
13.0,0.0330536142959651
14.0,0.03899041670351094
15.0,0.042139211690028405
16.0,0.04417842555366843
17.0,0.04457293800222575
18.0,0.04293371710219766
19.0,0.03863805030948491
20.0,0.0304401119418347
21.0,0.01710609589644443
22.0,-0.001208278322182841
25.0,-0.05734636862866149
27.0,-0.07307044972712343
28.0,-0.08063290381854742
29.0,-0.08824261103176993
30.0,-0.09574203514757165
