alpha,cm
-26.0,0.059711495236645526
-25.0,0.0391989657212024
-24.0,0.008303379414130492
-22.0,-0.031273387007775516
-21.0,-0.03894276086414802
-20.0,-0.041907555231300374
-19.0,-0.04246033698884543
-18.0,-0.041454101697156964
-17.0,-0.03923994895531305
-16.0,-0.036152068704614695
-15.0,-0.032374162893449965
-14.0,-0.027635880016047897
-13.0,-0.021488989327002578
-12.0,-0.010130802858500012
-11.0,-0.011187853581674184
-10.0,-0.029114308671392475
-9.0,-0.02219445008101233
-8.0,-0.0174757795967245
-7.0,-0.01399193512442715
-6.0,-0.011412289151338819
-5.0,-0.009212291045346693
-4.0,-0.0066431188075390685
-3.0,-0.002592043511912755
-2.0,-0.0003801632493096131
-1.0,-8.154382480093521e-5
0.0,7.811153662852689e-15
1.0,8.154338812770631e-5
2.0,0.00038015959939165526
3.0,0.002592007119901986
4.0,0.006642897934450301
5.0,0.009211728527483356
6.0,0.01141114693510159
7.0,0.013989796863944887
8.0,0.017471760637084145
9.0,0.022186501590303522
10.0,0.029087847294300168
11.0,0.011122034842326971
12.0,0.010036925023697248
13.0,0.021390911340241542
14.0,0.027488360903162885
15.0,0.03218408455881307
16.0,0.03592171744049914
17.0,0.03896337542821459
18.0,0.04113800188470694
19.0,0.04211131316016105
20.0,0.041530202269957225
21.0,0.038522320960792784
22.0,0.03077405449704225
23.0,0.015433919176222291
24.0,-0.009175705449071715
25.0,-0.03973280440127315
26.0,-0.060319434513504765
29.0,-0.11238512213549803
