alpha,cm
-30.0,0.12156466681467443
-27.0,0.09169750015156046
-25.0,0.043229157580374065
-24.0,0.017448261793605944
-23.0,-0.011936344983945874
-22.0,-0.028081355709485483
-21.0,-0.03641415721556927
-20.0,-0.040790678774340665
-19.0,-0.042787712643137125
-18.0,-0.042946525331972865
-17.0,-0.04156835477733035
-16.0,-0.03916422064216394
-15.0,-0.03620323881447564
-14.0,-0.03014090556484799
-13.0,-0.023510387954951122
-12.0,-0.01461695289054933
-11.0,-0.011519572181568488
-10.0,-0.016689069476634687
-9.0,-0.025378197977473246
-8.0,-0.019107227622908472
-7.0,-0.015180731682248792
-5.0,-0.009698585054515036
-4.0,-0.006468121262751299
-3.0,-0.0015082417318655725
-2.0,-0.0004175946918682362
-1.0,-0.0001168807596936166
0.0,1.8789323307893992e-14
1.0,0.00011687794562573454
2.0,0.0004175824900985078
3.0,0.0015081974534907059
4.0,0.006467867497401476
5.0,0.009697850512359031
7.0,0.015178010667865787
8.0,0.019102092541767604
9.0,0.025366432042694446
10.0,0.01665010104804798
11.0,0.011447116821322425
12.0,0.014561422922643653
13.0,0.02340599019846473
14.0,0.029993013619946704
15.0,0.0359987277845615
16.0,0.038919029422111756
17.0,0.04128347195229443
18.0,0.04262953912758539
19.0,0.04243945694854249
20.0,0.040428626538479034
21.0,0.03603621903664451
22.0,0.027689395104651945
23.0,0.011553496423531847
24.0,-0.017938182849895203
25.0,-0.04381939804687587
26.0,-0.08312269588474377
27.0,-0.09241819273628206
28.0,-0.10303794078939008
29.0,-0.11281800214344737
30.0,-0.1224621971479831
