alpha,cm
-30.0,0.11946188605484005
-29.0,0.10908559898539304
-28.0,0.10008235207128473
-27.0,0.09082291852059611
-25.0,0.07215191165940382
-24.0,0.06258037582316966
-23.0,0.05350838738220856
-22.0,0.010332630979719917
-21.0,-0.012840725031863549
-20.0,-0.027703446524523584
-19.0,-0.03732003844435256
-18.0,-0.042775921041591655
-17.0,-0.0451635018206651
-16.0,-0.0453369185524073
-15.0,-0.043801610555676065
-14.0,-0.039519647897612406
-13.0,-0.034149979395250836
-12.0,-0.027719103107554665
-11.0,-0.018286644929492342
-10.0,-0.009426282148455855
-9.0,-0.012976374415387048
-8.0,-0.026091381565656945
-7.0,-0.020104385673139814
-6.0,-0.01532418944671213
-5.0,-0.010642274683938073
-4.0,-0.0036978892945947524
-3.0,-0.0017011711635917174
-1.0,-0.00027738501541785845
0.0,9.691824647880336e-15
1.0,0.0002773750809768774
3.0,0.0017010537194801342
4.0,0.0036976279760386217
5.0,0.010641168217017693
6.0,0.015321462634551086
7.0,0.020099137262601416
8.0,0.02607851149703622
9.0,0.012941323815998966
10.0,0.009360514559377213
11.0,0.01823689186476248
12.0,0.02762877735495508
13.0,0.03401749378905411
14.0,0.03935189490122699
15.0,0.0435736664822732
16.0,0.04507124871061559
17.0,0.04486287483510681
18.0,0.042441701462829655
19.0,0.03695558980872587
20.0,0.027306570215789194
21.0,0.012406091248073325
22.0,-0.010851275121698293
23.0,-0.04110730404806647
27.0,-0.09158745441499566
28.0,-0.10089507589136548
29.0,-0.10995252782019349
30.0,-0.12039886627107892
